Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Arab World,ARB,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.87432,0.88484,0.89124,0.89744,0.90179,0.90586,0.90699,0.90894,0.91499,0.91929,0.9229,0.91804,0.92944,0.93089,0.93668,0.93992,0.94122,0.9446,0.94615,..
Latin America & Caribbean,LCN,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.97025,0.97058,0.96976,0.97332,0.97383,0.97049,0.97288,0.97424,0.96969,0.97486,0.96908,0.96954,0.97577,0.97859,0.97806,0.97973,0.9841,0.98228,0.98048,..
Middle East & North Africa,MEA,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.89499,0.90472,0.91096,0.91635,0.92088,0.92317,0.92566,0.93045,0.93453,0.9369,0.94015,0.93661,0.94738,0.95524,0.96247,0.96846,0.96926,0.97005,0.97171,..
North America,NAC,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.98606,0.99845,1.00812,1.00159,0.99469,0.98945,1.00628,0.99686,1.00141,1.00357,0.99125,1.0043,0.9869,0.99331,0.9979,1.00044,0.99854,0.9928,0.99517,..
Caribbean small states,CSS,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.98577,0.98417,0.98889,0.98803,0.9871,0.9834,0.98424,0.98669,0.98419,0.98212,0.97917,0.98228,0.98525,0.97254,0.97647,1.00311,0.98007,0.98075,0.97272,..
European Union,EUU,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99195,0.9925,0.99076,0.99149,0.99152,0.99045,0.9911,0.9917,0.98999,0.99139,0.99162,0.99356,0.99576,0.99837,0.99859,0.99903,0.99977,0.9967,0.9969,..
